name,phone,address,website,rating,reviews
Ecco Pizza,+44 20 7404 3555,"186 Drury Ln, London, WC2B 5QD, United Kingdom",,4.5,801
Domino's Pizza - London - Old Street,+44 20 7336 6665,"40 Old St, London, EC1V 9AE, United Kingdom",https://www.dominos.co.uk/pizza-near-me/london/40-old-street?utm_source=gmb&utm_medium=yext&y_source=1_MTIxMzY5MzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,3.7,140
Pizza Union,+44 20 7278 9425,"246-250 Pentonville Rd, London, N1 9JY, United Kingdom",http://www.pizzaunion.com/,4.6,5373
Pizza Pilgrims,+44 20 3005 2930,"11 Dean St, London, W1D 3RP, United Kingdom",http://pizzapilgrims.co.uk/,4.6,3568
Pizza Express,+44 20 7401 3977,"Benbow House, 24 New Globe Walk, London SE1 9DS, United Kingdom",https://www.pizzaexpress.com/bankside?utm_source=google&utm_medium=Places&utm_campaign=bankside,4.4,1741
Pizza Union Spitalfields,+44 20 7247 5116,"25 Sandy's Row, London, E1 7HS, United Kingdom",https://www.pizzaunion.com/,4.6,5117
Pizza Pilgrims Victoria,+44 20 3963 5800,"32-34 Buckingham Palace Rd, London, SW1W 0QP, United Kingdom",,4.7,2258
Pizza Union,+44 20 3773 1773,"29 Leman St, London, E1 8PT, United Kingdom",https://www.pizzaunion.com/#menu,4.6,2874
Pizza Pilgrims Kingly,+44 20 7287 2200,"11 Kingly St, Carnaby, London, W1B 5PW, United Kingdom",http://www.pizzapilgrims.co.uk/,4.7,6324
Pizza Pilgrims Covent Garden,+44 20 7240 4145,"23 Garrick St, London, WC2E 9BN, United Kingdom",https://www.pizzapilgrims.co.uk/,4.4,2807
Crust Bros Pizza Restaurant Waterloo,+44 20 3034 3424,"113 Waterloo Rd, London, SE1 8UL, United Kingdom",https://www.crustbros.co.uk/waterloo/?utm_source=GMB&utm_medium=website%20click&utm_campaign=SDM&utm_id=GMB,4.5,2564
Pizza Pilgrims London Bridge,+44 20 3974 9825,"SU48, London Bridge Station, 2 Bermondsey St, London SE1 2TF, United Kingdom",http://www.pizzapilgrims.co.uk/,4.5,3298
Pizza Express,+44 20 7486 0888,"133 Baker St, London, W1U 6SF, United Kingdom",https://www.pizzaexpress.com/baker-street?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-761-baker-street,4.3,1969
Pizza Pilgrims Canary Wharf,+44 20 3019 8020,"12 Hertsmere Rd, London, E14 4AE, United Kingdom",,4.6,3688
Gourmet Pizza Co,+44 20 7928 3188,"56 Upper Ground, London, SE1 9PP, United Kingdom",http://www.gourmetpizzacompany.co.uk/,4.3,1849
Pizza Union Hoxton,,"145 City Rd, London, EC1V 1AY, United Kingdom",https://www.pizzaunion.com/,4.5,635
Pizza Pilgrims Shoreditch,+44 20 3019 7620,"136 Shoreditch High St, London, E1 6JE, United Kingdom",http://www.pizzapilgrims.co.uk/,4.6,2340
Pizza Express,+44 20 7928 4091,"Unit 3, The White House, 9c Belvedere Rd, London SE1 8YP, United Kingdom",https://www.pizzaexpress.com/royal-festival-hall?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-2351-royal-festival-hall,4.1,1994
Pizza Pilgrims Liverpool Street,+44 20 3974 9820,"22 Old Broad St, London, EC2N 1HQ, United Kingdom",http://www.pizzapilgrims.co.uk/,4.7,1523
Detroit Pizza London,,"75 Commercial St, London, E1 6BD, United Kingdom",http://www.detroitpizzalondon.com/,4.8,1083
Pizza East,+44 20 7349 9650,"56 Shoreditch High St, London, E1 6JJ, United Kingdom",https://www.pizzaeast.com/shoreditch,4.2,3588
Pizza Sophia,+44 20 7833 8556,"50 Tavistock Pl, London, WC1H 9RG, United Kingdom",https://pizzasophia.com/,4.6,1212
Pizza Express,+44 20 3040 1840,"88 Cromwell Rd, South Kensington, London, SW7 4EN, United Kingdom",https://www.pizzaexpress.com/gloucester-road?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-3437-gloucester-road,4.1,1172
The Pizza Room - Mile End,+44 20 8981 7566,"2a Grove Rd., Bow, London, E3 5AJ, United Kingdom",https://www.thepizzaroom.co.uk/,4.5,829
Pizza Union Holborn,,"1 New Oxford St, London, WC1A 1LW, United Kingdom",https://www.pizzaunion.com/,4.4,551
Pizza Express,+44 20 7626 5025,"1 Byward St, London, EC3R 5AS, United Kingdom",https://www.pizzaexpress.com/tower-hill?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-3230-tower-hill,4.2,1537
Pizza Pilgrims Waterloo,+44 20 3974 9829,"82 Lower Marsh, London, SE1 7AB, United Kingdom",http://www.pizzapilgrims.co.uk/,4.6,1651
Pizza Hut Restaurants,+44 20 7925 2457,"56/59 Strand, London, WC2N 5LR, United Kingdom",https://www.pizzahut.co.uk/restaurants/store/details/Strand,3.9,3081
Pizza Express,+44 20 7407 2995,"4 Borough High St, London, SE1 9QQ, United Kingdom",https://www.pizzaexpress.com/london-bridge?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-1991-london-bridge,4.0,1070
Pizza Express,+44 20 7283 5113,"20-22 Leadenhall Market, London, EC3V 1LR, United Kingdom",https://www.pizzaexpress.com/leadenhall-market?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-2861-leadenhall-market,4.4,615
Pizza Brixton,+44 20 3417 0471,"105 Brixton Hill, London, SW2 1AA, United Kingdom",http://www.pizzabrixton.co.uk/,4.6,608
Pizza Express,+44 20 7706 8000,"Unit 35 and 37, 3 Merchant Sq, London W2 1BF, United Kingdom",https://www.pizzaexpress.com/paddington?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-3436-paddington,4.1,1107
Pizza Express,+44 20 7240 3443,"9-12 Bow St, London, WC2E 7AH, United Kingdom",https://www.pizzaexpress.com/bow-street?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-511-bow-street,4.2,1147
Pizza Express,+44 20 7930 8205,"450 Strand, London, WC2R 0RG, United Kingdom",https://www.pizzaexpress.com/the-strand-trafalgar-square?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-2091-the-strand-trafalgar-square,3.9,1518
Pizza Express,+44 20 8853 2770,"4-6 Greenwich Church St, London, SE10 9BG, United Kingdom",https://www.pizzaexpress.com/greenwich-church-street?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-2341-greenwich-church-street,4.1,991
Pizza Express,+44 20 8749 8582,"7 Rockley Rd, London, W14 0DJ, United Kingdom",https://www.pizzaexpress.com/shepherds-bush?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-1291-shepherds-bush,4.6,1199
Pizza Express,+44 20 7403 8484,"Cardamom Bldg, The, 31 Shad Thames, London SE1 2YR, United Kingdom",https://www.pizzaexpress.com/shad-thames?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-1821-shad-thames,4.2,1054
Pizza Express,+44 20 7836 8001,"80-81 St Martin's Ln, London, WC2N 4AA, United Kingdom",https://www.pizzaexpress.com/st-martins-lane?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-1741-st-martins-lane,4.0,1490
Pizza Express,+44 20 7976 6214,"25 Millbank, London, SW1P 4QP, United Kingdom",https://www.pizzaexpress.com/millbank?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-3210-millbank,4.1,993
