name,phone,address,website,rating,reviews
Burger King,+44 20 7370 2447,"85 Gloucester Rd, South Kensington, London, SW7 4SS, United Kingdom",https://locations.burgerking.co.uk/london/85-gloucester-road,3.4,2153.0
The Burger,,"250 Vauxhall Bridge Rd, London, SW1V 1AU, United Kingdom",,,
Honest Burgers Brewer St - Soho,+44 20 3819 3530,"84 Brewer St, London, W1F 9UB, United Kingdom",https://www.honestburgers.co.uk/locations/piccadilly/,4.4,1229.0
Bun & Burger,,"63 Rochester Ave, London, E13 9JL, United Kingdom",,3.8,12.0
Burger King,+44 20 7401 3906,"Waterloo Railway Station, London, SE1 8SE, United Kingdom",https://locations.burgerking.co.uk/london/waterloo-railway-station,2.9,899.0
Honest Burgers Borough,+44 20 4542 4840,"5-7 Southwark St, London, SE1 1RQ, United Kingdom",https://www.honestburgers.co.uk/locations/borough/,4.5,3028.0
Honest Burgers South Kensington,+44 20 4542 5740,"24 Thurloe St, South Kensington, London, SW7 2LT, United Kingdom",https://www.honestburgers.co.uk/locations/south-kensington/,4.5,4320.0
Honest Burgers King's Cross,+44 20 3818 0220,"251 Pentonville Rd, London, N1 9NG, United Kingdom",https://www.honestburgers.co.uk/locations/kings-cross/,4.5,3453.0
Honest Burgers Bank,+44 20 4542 5760,"4, off Change Alley, Lombard St, London EC3V 9AZ, United Kingdom",https://www.honestburgers.co.uk/locations/bank/,4.4,1959.0
Honest Burgers South Bank,+44 20 4542 5310,"9 Festival Terrace, London, SE1 8XX, United Kingdom",https://www.honestburgers.co.uk/locations/south-bank/,4.4,2150.0
Honest Burgers Meard Street - Soho,+44 20 8154 2090,"4a Meard St, London, W1F 0EF, United Kingdom",https://www.honestburgers.co.uk/locations/soho/,4.5,3777.0
Honest Burgers Warren St,+44 20 3597 6277,"117 Tottenham Ct Rd, London, W1T 5AL, United Kingdom",https://www.honestburgers.co.uk/locations/warren-st/,4.4,2136.0
Honest Burgers Spitalfields,+44 20 3148 2950,"12 Widegate St, London, E1 7HP, United Kingdom",https://www.honestburgers.co.uk/locations/liverpool-st/?,4.5,2602.0
Honest Burgers Holborn,+44 20 3780 8290,"6 Great Queen St, London, WC2B 5DH, United Kingdom",https://www.honestburgers.co.uk/locations/holborn/,4.6,1061.0
Angus Burger,+44 20 8902 7272,"115 Wembley Park Dr, Wembley Park, Wembley HA9 8HG, United Kingdom",http://www.angus-burgers.co.uk/,4.5,565.0
Burger Craft,+44 20 7723 7980,"E D H I International Foundati, 308 Edgware Rd, London W2 1DY, United Kingdom",https://www.publove.co.uk/burgercraft/,3.9,10.0
Bleecker Burger,+44 20 3384 4333,"205 Victoria St, London, SW1E 5NE, United Kingdom",https://www.bleecker.co.uk/,4.2,2647.0
Gourmet Burger Kitchen (GBK),+44 20 7261 0106,"119A Waterloo Rd, London, SE1 8UL, United Kingdom",https://restaurants.gbk.co.uk/london/waterloo,4.3,1327.0
Five Guys Oxford Circus,+44 20 7434 3407,"Sutherland House, 5-6 Argyll St, London W1F 7TE, United Kingdom",https://restaurants.fiveguys.co.uk/greater-london/sutherland-house?y_source=1_MTI0MzE0NjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.4,6375.0
Honest Burgers Baker Street,+44 20 4542 4725,"31 Paddington St, London, W1U 4HD, United Kingdom",https://www.honestburgers.co.uk/locations/baker-st/?utm_source=google&utm_medium=organic&utm_campaign=yext&utm_term=bakerst&utm_content=website,4.4,1312.0
Tommi's Burger Joint,+44 20 7224 3828,"30 Thayer St, London, W1U 2QP, United Kingdom",https://tommis.is/location/england/?location=is,4.4,1432.0
Burger and Beyond Shoreditch,+44 20 3848 8860,"147 Shoreditch High St, London, E1 6JE, United Kingdom",http://burgerandbeyond.co.uk/,4.4,1663.0
Honest Burgers Liverpool Street,+44 20 4542 6860,"81-82 Old Broad St, London, EC2M 1PR, United Kingdom",https://www.honestburgers.co.uk/locations/liverpool-st-2/,4.4,492.0
Honest Burgers Hammersmith,+44 20 4542 5735,"24 Fulham Palace Rd, London, W6 9PH, United Kingdom",https://www.honestburgers.co.uk/locations/hammersmith/,4.4,1505.0
Honest Burgers Covent Garden,+44 20 3148 9505,"33 Southampton St, London, WC2E 7HE, United Kingdom",https://www.honestburgers.co.uk/locations/covent-garden/,4.4,3178.0
Burger & Lobster Mayfair,+44 20 3205 8960,"29 Clarges St, London, W1J 7EF, United Kingdom",https://www.burgerandlobster.com/locations/london/mayfair/?utm_source=google&utm_medium=local&utm_campaign=gmblisting&y_source=1_NDgxMDI3NjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.6,3251.0
Burger & Lobster Soho,+44 20 7432 4800,"36-38 Dean St, London, W1D 4PS, United Kingdom",https://www.burgerandlobster.com/locations/london/soho/?utm_source=google&utm_medium=local&utm_campaign=gmblisting&y_source=1_NDgxMDI3NjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.4,6019.0
Gourmet Burger Kitchen (GBK),+44 20 7581 8942,"107 Old Brompton Rd, South Kensington, London, SW7 3LE, United Kingdom",https://restaurants.gbk.co.uk/london/south-kensington,4.3,1229.0
Bleecker Bloomberg,+44 20 7929 3785,"16 Bloomberg Arcade, London, EC4N 8AR, United Kingdom",https://www.bleecker.co.uk/,4.3,903.0
Black Bear Burger Restaurant Shoreditch,+44 20 7729 3813,"Boxpark 10, Bethnal Grn Rd, London E1 6GY, United Kingdom",http://www.blackbearburger.com/,4.4,619.0
Burger & Lobster Leicester Square,+44 20 3205 8963,"10 Wardour St, London, W1D 6QF, United Kingdom",https://www.burgerandlobster.com/locations/london/leicester-square/?utm_source=google&utm_medium=local&utm_campaign=gmblisting&y_source=1_NDgxMDI3NjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.6,6886.0
Honest Burgers Leicester Square,+44 20 3675 0930,"17 Garrick St, London, WC2E 9AX, United Kingdom",https://www.honestburgers.co.uk/locations/garrick-st-leicester-sq/,4.4,553.0
Burger & Lobster Knightsbridge,+44 20 7201 8676,"109-125 Knightsbridge, London, SW1X 7RJ, United Kingdom",https://www.burgerandlobster.com/locations/london/knightsbridge/?utm_source=google&utm_medium=local&utm_campaign=gmblisting&y_source=1_NDgxMDI3NjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.5,3618.0
Honest Burgers Waterloo,+44 20 3597 6266,"39 The Cut, London, SE1 8LF, United Kingdom",https://www.honestburgers.co.uk/locations/waterloo/,4.5,951.0
BEER + BURGER,+44 20 3963 5795,"1 York Wy, London, N1C 4AS, United Kingdom",http://www.beerandburgerstore.com/,4.4,1354.0
Honest Burgers Greenwich,+44 20 4542 4860,"8 Nelson Rd., London, SE10 9JB, United Kingdom",https://www.honestburgers.co.uk/locations/greenwich/,4.5,1944.0
Honest Burgers Old Street,+44 20 3597 6270,"6 Baldwin St, London, EC1V 9NU, United Kingdom",https://www.honestburgers.co.uk/locations/old-st/,4.4,1378.0
Andy's Bangin' Burgers,+44 7960 432802,"235 Mile End Rd, Bethnal Green, London, E1 4AA, United Kingdom",http://andysburgers.co.uk/,4.4,1542.0
Gourmet Burger Kitchen (GBK),+44 20 7278 7168,"Brunswick Centre, 44/46 The, London WC1N 1AE, United Kingdom",https://restaurants.gbk.co.uk/london/brunswick,4.2,783.0
Honest Burgers Camden,+44 20 3597 6259,"Unit 34a Camden Lock Pl, London, NW1 8AF, United Kingdom",https://www.honestburgers.co.uk/locations/camden/,4.4,1234.0
Burgers LDN,+44 20 7427 6084,"Entrance inside the Alleyway, 141 Leman St, London E1 8EY, United Kingdom",https://www.burgersldn.co.uk/,4.7,306.0
Honest Burgers Oxford Circus,+44 20 3675 0940,"4 Market Pl, London, W1W 8AD, United Kingdom",https://www.honestburgers.co.uk/locations/oxford-circus/,4.4,2568.0
Star Burger,+44 20 7622 0776,"118 Battersea Park Rd, London, SW11 4LY, United Kingdom",,4.7,177.0
Burger & Lobster - Bond Street,+44 20 3637 5972,"26 Binney St, London, W1K 5BW, United Kingdom",https://www.burgerandlobster.com/locations/london/bond-street/?utm_source=google&utm_medium=local&utm_campaign=gmblisting&y_source=1_NDgxMDI3NjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.4,3014.0
Gourmet Burger Kitchen,+44 20 4524 0177,"Unit 4, Condor House, St. Paul's Churchyard, London EC4M 8AL, United Kingdom",https://restaurants.gbk.co.uk/london/st-pauls,4.3,1808.0
Gordon Ramsay Street Burger - Charing Cross Road,+44 20 7592 1361,"24-28 Charing Cross Rd, London, WC2H 0HX, United Kingdom",https://www.gordonramsayrestaurants.com/street-burger/charing-cross-road/,4.1,2172.0
